12/30/2015,4,,07/15/2018,106
12/31/2015,1,,07/22/2018,139
01/01/2016,7,,07/29/2018,153
01/02/2016,28,,08/05/2018,110
01/03/2016,50,,08/12/2018,123
01/04/2016,112,,08/19/2018,108
01/05/2016,75,,08/26/2018,152
01/06/2016,75,,09/02/2018,182
01/07/2016,78,,09/09/2018,318
01/08/2016,67,,09/16/2018,591
01/09/2016,40,,09/23/2018,1004
01/10/2016,75,,09/30/2018,651
01/11/2016,73,,10/07/2018,498
01/12/2016,72,,10/14/2018,415
01/13/2016,67,,10/21/2018,355
01/14/2016,56,,10/28/2018,420
01/15/2016,39,,11/04/2018,399
01/16/2016,26,,11/11/2018,386
01/17/2016,26,,11/18/2018,188
01/18/2016,69,,11/25/2018,484
01/19/2016,105,,12/02/2018,456
01/20/2016,61,,12/09/2018,467
01/21/2016,55,,12/16/2018,145
01/22/2016,59,,12/26/2018,31
01/23/2016,33,,01/03/2019,291
01/24/2016,49,,,
01/25/2016,68,,,
01/26/2016,78,,,
01/27/2016,44,,,
01/28/2016,61,,,
01/29/2016,53,,,
01/30/2016,31,,,
01/31/2016,64,,,
02/01/2016,75,,,
02/02/2016,48,,,
02/03/2016,65,,,
02/04/2016,54,,,
02/05/2016,41,,,
02/06/2016,21,,,
02/07/2016,31,,,
02/08/2016,99,,,
02/09/2016,54,,,
02/10/2016,47,,,
02/11/2016,57,,,
02/12/2016,27,,,
02/13/2016,16,,,
02/14/2016,21,,,
02/15/2016,46,,,
02/16/2016,72,,,
02/17/2016,65,,,
02/18/2016,62,,,
02/19/2016,30,,,
02/20/2016,22,,,
02/21/2016,50,,,
02/22/2016,69,,,
02/23/2016,46,,,
02/24/2016,63,,,
02/25/2016,57,,,
02/26/2016,33,,,
02/27/2016,23,,,
02/28/2016,30,,,
02/29/2016,54,,,
03/01/2016,73,,,
03/02/2016,49,,,
03/03/2016,66,,,
03/04/2016,44,,,
03/05/2016,31,,,
03/06/2016,53,,,
03/07/2016,60,,,
03/08/2016,53,,,
03/09/2016,47,,,
03/10/2016,47,,,
03/11/2016,38,,,
03/12/2016,27,,,
03/13/2016,24,,,
03/14/2016,66,,,
03/15/2016,58,,,
03/16/2016,34,,,
03/17/2016,23,,,
03/18/2016,28,,,
03/19/2016,5,,,
03/20/2016,9,,,
03/21/2016,17,,,
03/22/2016,14,,,
03/23/2016,26,,,
